player_id,total_net_points,total_duration,total_stints,impact_per_60_sec,stints_per_game
376,-55,1888,143,-0.02913135593220339,
383,43,2749,189,0.015642051655147326,
386,28,1049,76,0.02669208770257388,
389,8,2302,190,0.0034752389226759338,
393,96,4386,303,0.02188782489740082,
397,-60,3787,284,-0.015843675732770002,
399,-27,3502,252,-0.007709880068532267,
400,-41,1301,82,-0.03151421983089931,
406,75,2802,161,0.02676659528907923,
417,24,1308,106,0.01834862385321101,
42,-61,2058,179,-0.029640427599611274,
422,16,2106,152,0.007597340930674264,
423,-102,1940,136,-0.05257731958762887,
426,-13,1280,127,-0.01015625,
43,-11,1929,169,-0.005702436495593572,
431,-13,3196,248,-0.004067584480600751,
435,-11,745,50,-0.01476510067114094,
436,74,2615,183,0.02829827915869981,
440,-4,2465,194,-0.0016227180527383367,
441,-42,2482,169,-0.016921837228041903,
442,23,516,40,0.044573643410852716,
445,12,1541,119,0.007787151200519144,
446,-5,700,56,-0.007142857142857143,
448,-28,3291,224,-0.00850805226374962,
45,25,2656,226,0.00941265060240964,
452,77,3200,212,0.0240625,
458,-27,3591,294,-0.007518796992481203,
467,67,5392,367,0.012425816023738873,
468,28,2803,202,0.009989297181591153,
469,-4,4547,298,-0.0008797009016934242,
51,8,940,68,0.00851063829787234,
53,13,841,69,0.015457788347205707,
56,101,1589,102,0.06356198867212083,
57,24,3555,234,0.006751054852320675,
63,-54,2000,172,-0.027,
64,6,1360,106,0.004411764705882353,
672,27,2122,160,0.012723845428840716,
673,-7,2999,212,-0.002334111370456819,
677,-24,3491,275,-0.006874820968203953,
679,-74,2599,192,-0.02847248941900731,
680,-50,2025,137,-0.024691358024691357,
682,37,773,57,0.047865459249676584,
685,54,1349,108,0.04002965159377316,
686,25,2142,148,0.011671335200746966,
688,-8,1592,124,-0.005025125628140704,
689,11,3001,216,0.0036654448517160947,
690,21,485,37,0.04329896907216495,
692,-1,277,34,-0.0036101083032490976,
693,34,434,36,0.07834101382488479,
695,-2,2855,217,-0.0007005253940455342,
696,-50,1775,119,-0.028169014084507043,
697,-61,1470,111,-0.04149659863945578,
699,-20,1718,122,-0.011641443538998836,
70,-25,479,42,-0.05219206680584551,
702,48,1881,167,0.025518341307814992,
703,29,4197,327,0.006909697402906838,
708,-7,1325,87,-0.005283018867924529,
711,-13,1982,153,-0.006559031281533804,
713,-52,1103,83,-0.0471441523118767,
714,-91,4703,334,-0.01934935147778014,
717,8,1317,94,0.006074411541381929,
72,5,561,43,0.008912655971479501,
722,139,2536,153,0.05481072555205047,
727,-18,2173,159,-0.008283479061205707,
731,19,886,65,0.02144469525959368,
735,-11,2422,146,-0.004541701073492981,
739,59,5752,368,0.01025730180806676,
753,-39,1195,99,-0.032635983263598324,
754,-2,1313,86,-0.0015232292460015233,
757,29,5554,354,0.005221462009362621,
76,-13,1109,95,-0.011722272317403066,
760,-16,527,40,-0.030360531309297913,
761,-51,720,56,-0.07083333333333333,
762,-71,3904,289,-0.018186475409836065,
764,29,621,45,0.04669887278582931,
765,3,1377,110,0.002178649237472767,
77,-37,1059,80,-0.03493862134088763,
779,60,4995,358,0.012012012012012012,
782,19,1772,137,0.01072234762979684,
788,-38,1875,135,-0.020266666666666665,
84,41,3441,240,0.011915140947399011,
87,-18,368,26,-0.04891304347826087,
89,14,1055,96,0.013270142180094787,
891,61,2104,137,0.02899239543726236,
895,4,791,54,0.0050568900126422255,
896,-58,2351,168,-0.02467035304125904,
901,-28,724,54,-0.03867403314917127,
902,-29,1036,91,-0.027992277992277992,
904,-4,866,63,-0.004618937644341801,
905,-4,3831,243,-0.0010441138084051162,
911,-102,2518,184,-0.04050833995234313,
913,59,1493,93,0.03951774949765573,
915,71,3121,257,0.02274911887215636,
916,6,1229,91,0.004882017900732303,
919,-15,1231,93,-0.012185215272136474,
920,13,1359,112,0.009565857247976454,
922,-5,1097,64,-0.004557885141294439,
93,-57,2723,220,-0.02093279471171502,
931,1,219,22,0.0045662100456621,
934,-7,587,49,-0.01192504258943782,
935,28,501,43,0.05588822355289421,
937,-40,1826,121,-0.02190580503833516,
947,41,1268,110,0.032334384858044164,
948,21,1325,79,0.015849056603773583,
949,6,1425,85,0.004210526315789474,
950,-21,482,37,-0.043568464730290454,
951,58,2208,153,0.026268115942028984,
952,-17,973,71,-0.017471736896197326,
953,4,222,19,0.018018018018018018,
955,-19,485,43,-0.03917525773195876,
956,-16,1767,121,-0.009054895302773062,
957,-21,468,38,-0.04487179487179487,
958,13,1760,149,0.007386363636363636,
959,-19,1722,125,-0.011033681765389082,
960,24,1674,110,0.014336917562724014,
961,2,889,75,0.0022497187851518562,
962,-6,335,24,-0.01791044776119403,
966,26,1354,114,0.019202363367799114,
969,-3,438,40,-0.00684931506849315,
970,5,868,62,0.00576036866359447,
976,6,1389,86,0.004319654427645789,
977,20,1918,121,0.010427528675703858,
978,-25,2049,124,-0.012201073694485115,
979,-33,735,60,-0.044897959183673466,
98,17,461,32,0.0368763557483731,
980,-6,840,56,-0.007142857142857143,
983,-15,1771,132,-0.00846979107848673,
988,0,359,25,0.0,
990,-12,869,68,-0.01380897583429229,
998,-14,909,68,-0.015401540154015401,
