team_id,player_id,player_name,team_name
1610612766,934,Derrick Coleman,Charlotte Hornets
1610612766,1944,Eddie Robinson,Charlotte Hornets
1610612766,922,Elden Campbell,Charlotte Hornets
1610612766,695,Eldridge Recasner,Charlotte Hornets
1610612766,765,Hersey Hawkins,Charlotte Hornets
1610612766,2048,Jamaal Magloire,Charlotte Hornets
1610612766,469,Jamal Mashburn,Charlotte Hornets
1610612766,1924,Lee Nailon,Charlotte Hornets
1610612766,901,Otis Thorpe,Charlotte Hornets
1610612766,136,P.J. Brown,Charlotte Hornets
1610612766,2121,Terrance Roberson,Charlotte Hornets
1610612766,1906,Tim James,Charlotte Hornets
1610612741,2062,A.J. Guyton,Chicago Bulls
1610612741,1802,Brad Miller,Chicago Bulls
1610612741,1724,Bryce Drew,Chicago Bulls
1610612741,1736,Corey Benjamin,Chicago Bulls
1610612741,2053,Dalibor Bagaric,Chicago Bulls
1610612741,1434,Dragan Tarlac,Chicago Bulls
1610612741,1882,Elton Brand,Chicago Bulls
1610612741,697,Fred Hoiberg,Chicago Bulls
1610612741,2063,Jake Voskuhl,Chicago Bulls
1610612741,2037,Jamal Crawford,Chicago Bulls
1610612741,2064,Khalid El-Amin,Chicago Bulls
1610612741,2033,Marcus Fizer,Chicago Bulls
1610612741,1897,Metta World Peace,Chicago Bulls
1610612741,1913,Michael Ruffin,Chicago Bulls
1610612741,1500,Ron Mercer,Chicago Bulls
1610612739,1889,Andre Miller,Cleveland Cavaliers
1610612739,902,Bimbo Coles,Cleveland Cavaliers
1610612739,1538,Cedric Henderson,Cleveland Cavaliers
1610612739,423,Chris Gatling,Cleveland Cavaliers
1610612739,2036,Chris Mihm,Cleveland Cavaliers
1610612739,221,Clar. Weatherspoon,Cleveland Cavaliers
1610612739,441,Lamond Murray,Cleveland Cavaliers
1610612739,1723,Matt Harpring,Cleveland Cavaliers
1610612739,1138,Michael Hawkins,Cleveland Cavaliers
1610612739,1714,Robert Traylor,Cleveland Cavaliers
1610612739,1892,Trajan Langdon,Cleveland Cavaliers
1610612739,445,Wesley Person,Cleveland Cavaliers
1610612739,980,Zydrunas Ilgauskas,Cleveland Cavaliers
1610612742,223,Bill Curley,Dallas Mavericks
1610612742,363,Christian Laettner,Dallas Mavericks
1610612742,2042,Courtney Alexander,Dallas Mavericks
1610612742,1717,Dirk Nowitzki,Dallas Mavericks
1610612742,2059,Eduardo Najera,Dallas Mavericks
1610612742,1761,Greg Buckner,Dallas Mavericks
1610612742,458,Howard Eisley,Dallas Mavericks
1610612742,93,Hubert Davis,Dallas Mavericks
1610612742,919,Loy Vaught,Dallas Mavericks
1610612742,714,Michael Finley,Dallas Mavericks
1610612742,762,Shawn Bradley,Dallas Mavericks
1610612742,959,Steve Nash,Dallas Mavericks
1610612743,686,Antonio McDyess,Denver Nuggets
1610612743,45,George McCloud,Denver Nuggets
1610612743,1899,James Posey,Denver Nuggets
1610612743,1721,Keon Clark,Denver Nuggets
1610612743,1110,Mark Strickland,Denver Nuggets
1610612743,89,Nick Van Exel,Denver Nuggets
1610612743,1711,Raef LaFrentz,Denver Nuggets
1610612743,123,Robert Pack,Denver Nuggets
1610612743,1505,Tariq Abdul-Wahad,Denver Nuggets
1610612743,426,Terry Davis,Denver Nuggets
1610612743,145,Tracy Murray,Denver Nuggets
1610612743,702,Voshon Lenard,Denver Nuggets
1610612765,1112,Ben Wallace,Detroit Pistons
1610612765,182,Billy Owens,Detroit Pistons
1610612765,76,Cedric Ceballos,Detroit Pistons
1610612765,1088,Chucky Atkins,Detroit Pistons
1610612765,344,Dana Barros,Detroit Pistons
1610612765,376,Eric Montross,Detroit Pistons
1610612765,966,Jerome Williams,Detroit Pistons
1610612765,711,Jerry Stackhouse,Detroit Pistons
1610612765,693,Joe Smith,Detroit Pistons
1610612765,961,John Wallace,Detroit Pistons
1610612765,146,Jud Buechler,Detroit Pistons
1610612765,2043,Mateen Cleaves,Detroit Pistons
1610612765,688,Michael Curry,Detroit Pistons
1610612765,1630,Mikki Moore,Detroit Pistons
1610612744,228,Adam Keefe,Golden State Warriors
1610612744,1502,Adonal Foyle,Golden State Warriors
1610612744,1712,Antawn Jamison,Golden State Warriors
1610612744,682,Bob Sura,Golden State Warriors
1610612744,168,Chris Mills,Golden State Warriors
1610612744,904,Chris Mullin,Golden State Warriors
1610612744,2084,Chris Porter,Golden State Warriors
1610612744,1504,Danny Fortson,Golden State Warriors
1610612744,956,Erick Dampier,Golden State Warriors
1610612744,1716,Larry Hughes,Golden State Warriors
1610612744,1531,Marc Jackson,Golden State Warriors
1610612744,302,Mookie Blaylock,Golden State Warriors
1610612744,988,Randy Livingston,Golden State Warriors
1610612744,219,Vinny Del Negro,Golden State Warriors
1610612744,1907,Vonteego Cummings,Golden State Warriors
1610612745,435,Carlos Rogers,Houston Rockets
1610612745,1749,Cuttino Mobley,Houston Rockets
1610612745,2061,Dan Langhi,Houston Rockets
1610612745,165,Hakeem Olajuwon,Houston Rockets
1610612745,2044,Jason Collier,Houston Rockets
1610612745,1509,Kelvin Cato,Houston Rockets
1610612745,1903,Kenny Thomas,Houston Rockets
1610612745,672,Matt Bullard,Houston Rockets
1610612745,1508,Maurice Taylor,Houston Rockets
1610612745,983,Moochie Norris,Houston Rockets
1610612745,1000,Shandon Anderson,Houston Rockets
1610612745,1883,Steve Francis,Houston Rockets
1610612745,1005,Walt Williams,Houston Rockets
1610612754,1733,Al Harrington,Indiana Pacers
1610612754,1506,Austin Croshere,Indiana Pacers
1610612754,1743,Bruno Sundov,Indiana Pacers
1610612754,365,Derrick McKey,Indiana Pacers
1610612754,147,Jalen Rose,Indiana Pacers
1610612754,1902,Jeff Foster,Indiana Pacers
1610612754,979,Jermaine O'Neal,Indiana Pacers
1610612754,1886,Jonathan Bender,Indiana Pacers
1610612754,397,Reggie Miller,Indiana Pacers
1610612754,64,Sam Perkins,Indiana Pacers
1610612754,371,Terry Mills,Indiana Pacers
1610612754,696,Travis Best,Indiana Pacers
1610612754,721,Tyus Edney,Indiana Pacers
1610612754,440,Zan Tabak,Indiana Pacers
1610612746,1730,Brian Skinner,Los Angeles Clippers
1610612746,1894,Corey Maggette,Los Angeles Clippers
1610612746,2032,Darius Miles,Los Angeles Clippers
1610612746,400,Derek Strong,Los Angeles Clippers
1610612746,15,Eric Piatkowski,Los Angeles Clippers
1610612746,976,Jeff McInnis,Los Angeles Clippers
1610612746,2039,Keyon Dooling,Los Angeles Clippers
1610612746,1885,Lamar Odom,Los Angeles Clippers
1610612746,1709,Michael Olowokandi,Los Angeles Clippers
1610612746,2047,Quentin Richardson,Los Angeles Clippers
1610612746,399,Sean Rooks,Los Angeles Clippers
1610612746,1838,Tyrone Nesby,Los Angeles Clippers
1610612746,1985,Zendon Hamilton,Los Angeles Clippers
1610612747,216,Brian Shaw,Los Angeles Lakers
1610612747,1904,Devean George,Los Angeles Lakers
1610612747,323,Greg Foster,Los Angeles Lakers
1610612747,270,Horace Grant,Los Angeles Lakers
1610612747,375,Isaiah Rider,Los Angeles Lakers
1610612747,977,Kobe Bryant,Los Angeles Lakers
1610612747,2058,Mark Madsen,Los Angeles Lakers
1610612747,2130,Mike Penberthy,Los Angeles Lakers
1610612747,296,Rick Fox,Los Angeles Lakers
1610612747,109,Robert Horry,Los Angeles Lakers
1610612747,166,Ron Harper,Los Angeles Lakers
1610612747,406,Shaquille O'Neal,Los Angeles Lakers
1610612747,1731,Tyronn Lue,Los Angeles Lakers
1610612763,735,Bryant Reeves,Memphis Grizzlies
1610612763,1800,Damon Jones,Memphis Grizzlies
1610612763,28,Doug West,Memphis Grizzlies
1610612763,3,Grant Long,Memphis Grizzlies
1610612763,1134,Ike Austin,Memphis Grizzlies
1610612763,236,Kevin Edwards,Memphis Grizzlies
