player_id,player_name,impact_per_60_sec
1924,Lee Nailon,0.0350620891161431
283,Lindsey Hunter,0.0086414790996784
953,Lorenzen Wright,0.018018018018018
919,Loy Vaught,-0.0121852152721364
26,Luc Longley,0.0325443786982248
446,Lucious Harris,-0.0071428571428571
51,Mahmoud Abdul-Rauf,0.0085106382978723
990,Malik Rose,-0.0138089758342922
1531,Marc Jackson,-0.0176933158584534
948,Marcus Camby,0.0158490566037735
2033,Marcus Fizer,-0.040633608815427
53,Mario Elie,0.0154577883472057
1548,Mark Blount,-0.0177748518762343
349,Mark Jackson,0.0309514711501719
2058,Mark Madsen,-0.0055594162612925
998,Mark Pope,-0.0154015401540154
1110,Mark Strickland,-0.002
2043,Mateen Cleaves,-0.0065107306486616
672,Matt Bullard,0.0127238454288407
761,Matt Geiger,-0.0708333333333333
1723,Matt Harpring,-0.0173830594184576
1074,Matt Maloney,-0.022459600109559
1508,Maurice Taylor,-0.0009548058561425
1897,Metta World Peace,-0.0178991992463495
688,Michael Curry,-0.0050251256281407
1722,Michael Dickerson,0.0370185092546273
1720,Michael Doleac,0.0037250253979004
714,Michael Finley,-0.0193493514777801
1138,Michael Hawkins,0.0389610389610389
1709,Michael Olowokandi,-0.023372287145242
2072,Michael Redd,-0.0960264900662251
1913,Michael Ruffin,-0.0193407790792699
63,Michael Smith,-0.027
1565,Michael Stewart,-0.0846560846560846
1710,Mike Bibby,0.0148599269183922
2034,Mike Miller,-0.027844455112818
2130,Mike Penberthy,0.0058823529411764
1630,Mikki Moore,0.0015857913098636
782,Mitch Richmond,0.0107223476297968
42,Monty Williams,-0.0296404275996112
983,Moochie Norris,-0.0084697910784867
302,Mookie Blaylock,-0.0122671512948659
2050,Morris Peterson,0.0212050685285751
177,Muggsy Bogues,-0.027027027027027
1737,Nazr Mohammed,0.0019697964543663
98,Nick Anderson,0.0368763557483731
89,Nick Van Exel,0.0132701421800947
1918,Obinna Ekezie,0.0222489476849067
178,Olden Polynice,0.0341959334565619
970,Othella Harrington,0.0057603686635944
901,Otis Thorpe,-0.0386740331491712
136,P.J. Brown,0.0197796695042563
1727,Pat Garrity,0.0068639053254437
121,Patrick Ewing,0.0149863760217983
2101,Paul McPherson,0.0433763188745603
1718,Paul Pierce,-0.0344512890714122
978,Peja Stojakovic,-0.0122010736944851
2143,Pepe Sanchez,0.073394495412844
442,Pervis Ellison,0.0445736434108527
2047,Quentin Richardson,-0.0028559771521827
1900,Quincy Lewis,0.0263409961685823
1711,Raef LaFrentz,0.0145681581685744
1747,Rafer Alston,-0.0556309362279511
753,Randy Brown,-0.0326359832635983
988,Randy Livingston,0.0
1740,Rashard Lewis,0.022102871307581
739,Rasheed Wallace,0.0102573018080667
1725,Rasho Nesterovic,-0.006599713055954
951,Ray Allen,0.0262681159420289
397,Reggie Miller,-0.01584367573277
1073,Reggie Slater,0.0304975922953451
1888,Richard Hamilton,0.0120680197476686
1594,Rick Brunson,-0.0413333333333333
296,Rick Fox,-0.0013416815742397
109,Robert Horry,-0.0019912385503783
123,Robert Pack,-0.0119731800766283
1714,Robert Traylor,0.0088495575221238
393,Rod Strickland,0.0218878248974008
915,Rodney Rogers,0.0227491188721563
166,Ron Harper,-0.0049184571576494
1500,Ron Mercer,-0.0176125244618395
1728,Roshown McLeod,-0.0236087689713322
2092,Ruben Garces,-0.0201729106628242
1739,Ruben Patterson,0.0106315118009781
2106,Ruben Wolkowyski,-0.0116279069767441
208,Sam Cassell,-0.0006190672719768
1734,Sam Jacobson,-0.031657355679702
417,Sam Mitchell,0.018348623853211
64,Sam Perkins,0.0044117647058823
955,Samaki Walker,-0.0391752577319587
1513,Scot Pollard,0.0310645724258289
281,Scott Williams,-0.0046656298600311
