player_1,player_2,total_net_points,total_duration,total_stints,impact_per_60
136,1944,29,941,61,0.030818278427205102
136,2048,122,2135,146,0.05714285714285714
136,469,21,2892,182,0.007261410788381743
136,695,16,1761,140,0.009085746734809767
136,765,24,684,50,0.03508771929824561
136,922,25,752,41,0.03324468085106383
137,1737,-11,594,61,-0.018518518518518517
137,1928,25,544,49,0.04595588235294118
137,238,20,744,79,0.026881720430107527
137,243,27,1330,130,0.02030075187969925
137,248,37,1058,102,0.03497164461247637
137,389,-2,703,72,-0.002844950213371266
137,689,1,515,48,0.001941747572815534
137,727,-16,205,23,-0.07804878048780488
137,761,-14,201,14,-0.06965174129353234
137,947,-6,284,33,-0.02112676056338028
1425,1536,61,3873,268,0.015750064549444876
1425,1563,-6,347,32,-0.01729106628242075
1425,1915,86,3849,269,0.022343465835281892
1425,2030,78,3607,247,0.02162461879678403
1425,2066,2,397,32,0.005037783375314861
1425,271,27,2693,207,0.010025993316004456
1425,29,-16,670,51,-0.023880597014925373
1425,383,62,2136,151,0.02902621722846442
1425,446,-8,545,46,-0.014678899082568808
1425,950,-17,472,36,-0.036016949152542374
1434,1500,-3,1691,111,-0.0017740981667652277
1434,1736,-10,917,59,-0.010905125408942203
1434,1882,-15,1442,86,-0.010402219140083218
1434,1897,-15,1417,84,-0.01058574453069866
1434,1913,-25,401,24,-0.06234413965087282
1434,2033,-12,663,46,-0.01809954751131222
1434,2037,1,325,22,0.003076923076923077
1434,2062,-10,348,23,-0.028735632183908046
1434,2064,20,401,27,0.04987531172069826
1434,697,-1,267,20,-0.003745318352059925
1444,1513,30,1310,99,0.022900763358778626
1444,1517,9,693,49,0.012987012987012988
1444,1715,6,1539,119,0.003898635477582846
1444,185,7,917,65,0.007633587786259542
1444,2045,33,632,51,0.05221518987341772
1444,468,27,1149,88,0.02349869451697128
1444,57,18,1369,112,0.013148283418553688
1444,978,-7,696,47,-0.010057471264367816
145,1505,-8,366,26,-0.02185792349726776
145,1711,9,955,75,0.009424083769633508
145,1721,10,712,64,0.014044943820224719
145,1899,16,467,31,0.034261241970021415
145,45,5,293,22,0.017064846416382253
145,686,5,209,15,0.023923444976076555
146,1630,14,2154,182,0.0064995357474466105
146,182,27,789,65,0.034220532319391636
146,2043,5,2721,231,0.0018375597206909224
146,344,9,359,26,0.025069637883008356
146,376,-17,875,76,-0.019428571428571427
146,688,-5,769,72,-0.006501950585175552
146,693,25,243,23,0.102880658436214
146,711,-23,803,66,-0.028642590286425903
146,76,-3,605,55,-0.0049586776859504135
146,961,11,485,43,0.02268041237113402
146,966,4,663,57,0.006033182503770739
147,1506,-57,504,27,-0.1130952380952381
147,1733,-43,1035,71,-0.04154589371980676
147,1886,-55,667,38,-0.08245877061469266
147,1902,15,458,29,0.03275109170305677
147,365,-22,495,37,-0.044444444444444446
147,371,-32,233,12,-0.13733905579399142
147,397,-83,477,27,-0.1740041928721174
147,440,-20,443,29,-0.045146726862302484
147,696,-31,609,32,-0.05090311986863711
147,979,-16,237,16,-0.06751054852320675
1477,1554,-30,820,55,-0.036585365853658534
1477,1853,-20,2901,223,-0.006894174422612892
1477,190,-8,3270,219,-0.0024464831804281344
1477,193,-29,4664,327,-0.006217838765008576
1477,2067,13,434,34,0.029953917050691243
1477,224,40,2513,179,0.01591723040191007
1477,258,-63,2599,173,-0.024240092343208928
1477,896,-52,1902,129,-0.027339642481598318
1477,920,14,1030,78,0.013592233009708738
1477,957,-15,401,31,-0.03740648379052369
1495,1498,43,2119,160,0.020292590844738084
1495,1507,21,2403,154,0.008739076154806492
1495,198,-37,2125,162,-0.017411764705882352
1495,251,16,2848,204,0.0056179775280898875
1495,345,-7,471,55,-0.014861995753715499
1495,422,23,1296,83,0.017746913580246913
1497,1725,4,2652,155,0.0015082956259426848
1497,1734,-14,425,24,-0.03294117647058824
1497,1887,4,2392,145,0.0016722408026755853
1497,1895,-5,764,60,-0.006544502617801047
1497,210,18,1952,111,0.009221311475409836
1497,324,-74,2061,137,-0.035904900533721494
1497,417,31,640,51,0.0484375
1497,708,0,809,49,0.0
1498,1507,62,2316,159,0.02677029360967185
1498,198,-7,2299,183,-0.003044802087864289
1498,251,60,2801,219,0.021420921099607283
1498,345,-17,668,71,-0.025449101796407185
1498,422,43,875,62,0.04914285714285714
1498,70,-17,399,35,-0.042606516290726815
1498,764,16,419,33,0.03818615751789976
1498,955,-13,300,25,-0.043333333333333335
1498,990,-19,567,45,-0.03350970017636684
1499,1548,8,258,22,0.031007751937984496
1499,1559,-21,560,46,-0.0375
1499,1594,-3,409,31,-0.007334963325183374
1499,1718,-78,2330,153,-0.03347639484978541
1499,179,-55,2095,149,-0.026252983293556086
1499,1914,-12,799,55,-0.015018773466833541
1499,2040,-18,284,25,-0.06338028169014084
1499,677,0,1832,134,0.0
1499,713,-3,290,18,-0.010344827586206896
1499,72,-3,282,17,-0.010638297872340425
1499,753,-46,714,52,-0.06442577030812324
1499,77,-23,718,50,-0.03203342618384401
1499,952,-9,237,13,-0.0379746835443038
1499,958,17,438,33,0.03881278538812785
1499,962,2,214,14,0.009345794392523364
15,1709,-36,1172,94,-0.030716723549488054
15,1730,-46,1146,95,-0.04013961605584642
15,1838,-17,2020,146,-0.008415841584158416
15,1885,-62,2574,177,-0.024087024087024088
15,1894,12,1239,102,0.009685230024213076
