home_lineup_tuple,away_lineup_tuple,total_home_points,total_away_points,total_duration,total_stints,net_points,net_per_60
"('103', '111', '1497', '1887', '708')","('1711', '1721', '1899', '702', '89')",7,11,39,1,-4,-6.153846153846153
"('103', '111', '1497', '1887', '708')","('1711', '1721', '45', '702', '89')",5,3,7,1,2,17.142857142857142
"('103', '111', '1497', '1895', '708')","('1495', '1507', '198', '251', '422')",0,0,3,1,0,0.0
"('103', '111', '1497', '324', '417')","('123', '1505', '1711', '1721', '45')",2,2,23,2,0,0.0
"('103', '111', '1497', '324', '708')","('123', '1711', '1721', '45', '89')",8,7,19,1,1,3.1578947368421053
"('103', '111', '1497', '324', '708')","('1507', '198', '251', '422', '990')",1,1,16,1,0,0.0
"('103', '111', '1725', '210', '324')","('1711', '1721', '45', '702', '89')",0,0,2,1,0,0.0
"('103', '111', '1887', '1895', '708')","('1498', '1507', '198', '251', '764')",4,9,17,1,-5,-17.647058823529413
"('103', '111', '1887', '210', '324')","('1711', '1721', '1899', '702', '89')",2,6,26,1,-4,-9.230769230769232
"('103', '1497', '1725', '1887', '324')","('1711', '1899', '686', '702', '89')",2,4,21,2,-2,-5.7142857142857135
"('103', '1497', '1725', '1887', '324')","('1711', '45', '686', '702', '89')",0,0,4,1,0,0.0
"('103', '1497', '1887', '417', '708')","('1711', '1721', '1899', '702', '89')",2,3,24,1,-1,-2.5
"('103', '1725', '1887', '210', '324')","('1711', '1721', '1899', '702', '89')",4,5,18,1,-1,-3.333333333333333
"('103', '1725', '1887', '210', '324')","('1711', '1721', '45', '702', '89')",0,0,1,1,0,0.0
"('1032', '1501', '1747', '2038', '2072')","('146', '1630', '2043', '688', '711')",1,5,16,1,-4,-15.0
"('1032', '1501', '208', '281', '283')","('1088', '1630', '688', '711', '961')",4,2,9,2,2,13.333333333333332
"('1032', '1501', '208', '281', '283')","('146', '1630', '2043', '688', '711')",5,2,23,2,3,7.826086956521739
"('1032', '1501', '208', '281', '283')","('146', '1630', '2043', '688', '966')",3,0,12,1,3,15.0
"('1032', '1501', '208', '281', '299')","('1088', '1630', '688', '711', '961')",0,2,5,1,-2,-24.0
"('1032', '1501', '208', '281', '679')","('1088', '1630', '688', '711', '961')",2,0,12,1,2,10.0
"('1032', '1501', '208', '283', '299')","('1088', '1112', '146', '1630', '182')",-90,-73,28,2,-17,-36.42857142857142
"('1032', '1501', '208', '283', '299')","('1088', '1112', '146', '1630', '688')",8,2,25,1,6,14.399999999999999
"('1032', '1501', '208', '283', '299')","('1088', '146', '1630', '688', '966')",2,2,11,1,0,0.0
"('1032', '1501', '208', '283', '299')","('146', '1630', '2043', '688', '966')",2,4,15,3,-2,-8.0
"('1032', '1501', '208', '283', '951')","('1088', '1112', '1630', '688', '711')",1,0,2,1,1,30.0
"('1032', '1501', '208', '283', '951')","('1088', '146', '1630', '688', '711')",16,11,69,5,5,4.3478260869565215
"('1032', '1501', '208', '283', '951')","('146', '1630', '2043', '688', '711')",4,0,18,1,4,13.333333333333332
"('1032', '1501', '208', '299', '679')","('1112', '146', '2043', '688', '711')",5,3,27,1,2,4.444444444444445
"('1032', '1501', '281', '283', '679')","('1088', '146', '1630', '688', '966')",2,4,18,1,-2,-6.666666666666666
"('1032', '1501', '281', '283', '679')","('1088', '1630', '688', '711', '966')",6,6,34,1,0,0.0
"('1032', '1501', '281', '283', '679')","('146', '1630', '2043', '688', '711')",8,11,56,2,-3,-3.214285714285714
"('1032', '1501', '281', '283', '679')","('146', '1630', '2043', '688', '966')",0,2,4,1,-2,-30.0
"('1032', '1501', '281', '283', '951')","('146', '1630', '2043', '688', '711')",1,0,4,1,1,15.0
"('1032', '1501', '281', '283', '951')","('146', '1630', '2043', '688', '966')",4,2,12,2,2,10.0
"('1032', '1501', '283', '299', '679')","('146', '1630', '2043', '688', '711')",0,2,5,1,-2,-24.0
"('1032', '2038', '208', '299', '679')","('1112', '146', '2043', '688', '711')",0,0,3,1,0,0.0
"('1032', '2038', '208', '299', '679')","('146', '1630', '2043', '688', '711')",0,4,8,1,-4,-30.0
"('1032', '208', '281', '299', '679')","('1088', '1630', '688', '711', '961')",6,2,38,2,4,6.315789473684211
"('1051', '111', '1497', '1887', '1895')","('238', '248', '689', '727', '947')",0,0,4,1,0,0.0
"('1051', '111', '1497', '1887', '1895')","('243', '248', '689', '727', '947')",3,3,25,1,0,0.0
"('1051', '111', '1497', '1887', '210')","('124', '1517', '185', '468', '57')",4,2,12,1,2,10.0
"('1051', '111', '1497', '1887', '324')","('238', '243', '248', '689', '727')",0,0,2,1,0,0.0
"('1051', '111', '1497', '1887', '324')","('243', '248', '689', '727', '947')",5,3,22,1,2,5.454545454545455
"('1051', '111', '1497', '1895', '210')","('137', '1928', '389', '689', '947')",3,1,4,1,2,30.0
"('1051', '111', '1497', '1895', '210')","('137', '238', '389', '689', '947')",4,2,9,1,2,13.333333333333332
"('1051', '111', '1497', '1895', '210')","('238', '248', '689', '727', '947')",0,1,10,1,-1,-6.0
"('1051', '111', '1497', '1895', '324')","('243', '248', '689', '727', '947')",0,3,13,2,-3,-13.846153846153847
"('1051', '111', '1497', '210', '324')","('1513', '1517', '185', '468', '57')",0,2,14,1,-2,-8.571428571428571
"('1051', '111', '1497', '324', '708')","('124', '1517', '185', '468', '57')",1,2,7,1,-1,-8.571428571428571
"('1051', '111', '1887', '1895', '210')","('1928', '238', '243', '248', '689')",0,0,7,1,0,0.0
"('1051', '111', '1887', '1895', '210')","('1928', '243', '248', '389', '689')",0,2,6,1,-2,-20.0
"('1051', '111', '1887', '1895', '210')","('1928', '243', '248', '689', '947')",10,12,49,3,-2,-2.4489795918367343
"('1051', '111', '1887', '1895', '324')","('1134', '1710', '236', '28', '735')",6,6,24,2,0,0.0
"('1051', '111', '1887', '1895', '324')","('1513', '1517', '185', '468', '57')",0,2,6,1,-2,-20.0
"('1051', '111', '1887', '1895', '324')","('1928', '243', '248', '689', '947')",6,5,31,1,1,1.935483870967742
"('1051', '111', '1887', '1895', '324')","('1928', '243', '389', '689', '947')",0,0,4,1,0,0.0
"('1051', '111', '1887', '210', '324')","('1134', '1710', '236', '28', '3')",0,0,1,1,0,0.0
"('1051', '111', '1887', '210', '324')","('1710', '236', '28', '3', '735')",6,4,23,1,2,5.217391304347826
"('1051', '111', '1887', '210', '324')","('1928', '238', '243', '248', '689')",0,2,21,1,-2,-5.7142857142857135
"('1051', '111', '1895', '210', '324')","('1513', '185', '239', '468', '57')",6,5,34,1,1,1.7647058823529411
"('1051', '111', '1895', '210', '417')","('137', '1928', '243', '248', '389')",4,2,12,2,2,10.0
"('1051', '111', '1895', '210', '417')","('137', '1928', '248', '389', '947')",2,4,17,1,-2,-7.0588235294117645
"('1051', '111', '1895', '210', '417')","('1928', '243', '248', '389', '689')",0,3,15,2,-3,-12.0
"('1051', '111', '1895', '324', '708')","('1513', '1517', '185', '468', '57')",2,0,7,2,2,17.142857142857142
"('1051', '111', '210', '324', '708')","('124', '1517', '185', '468', '57')",0,0,1,1,0,0.0
