home_lineup_tuple,away_lineup_tuple,total_home_points,total_away_points,total_duration,total_stints,net_points,net_per_60
"('1501', '208', '283', '299', '679')","('1074', '1544', '1683', '1891', '2035')",7,0,21,2,7,20.0
"('1711', '1899', '686', '702', '89')","('1000', '1749', '1883', '1903', '435')",8,2,18,1,6,20.0
"('1499', '1718', '179', '677', '77')","('1710', '1800', '236', '28', '51')",5,0,15,1,5,20.0
"('121', '1739', '1741', '2046', '452')","('120', '1719', '21', '431', '905')",4,0,12,1,4,20.0
"('1477', '1853', '190', '193', '920')","('1501', '208', '283', '299', '760')",6,2,12,1,4,20.0
"('15', '1709', '1838', '1885', '1894')","('1536', '1563', '2030', '29', '383')",5,1,12,1,4,20.0
"('1521', '2052', '252', '304', '330')","('15', '1730', '1894', '2032', '399')",4,0,12,1,4,20.0
"('1538', '1714', '1889', '221', '445')","('1499', '1559', '1718', '72', '952')",4,0,12,1,4,20.0
"('164', '275', '369', '703', '779')","('1074', '1728', '2035', '2069', '754')",6,2,12,2,4,20.0
"('166', '216', '270', '406', '977')","('1711', '1899', '45', '686', '702')",4,0,12,1,4,20.0
"('1714', '1889', '441', '445', '980')","('124', '1517', '185', '468', '978')",4,0,12,1,4,20.0
"('1717', '1761', '2042', '363', '93')","('1495', '1498', '251', '345', '422')",4,0,12,3,4,20.0
"('103', '1051', '111', '1497', '1725')","('1495', '1498', '1507', '198', '251')",4,1,9,1,3,20.0
"('109', '296', '375', '406', '977')","('1711', '1721', '1899', '45', '702')",3,0,9,1,3,20.0
"('120', '21', '278', '739', '905')","('363', '714', '762', '919', '959')",5,2,9,1,3,20.0
"('1495', '1507', '198', '251', '422')","('1497', '1725', '1887', '1895', '210')",3,0,9,1,3,20.0
"('1498', '198', '251', '70', '990')","('1733', '1886', '1902', '440', '696')",3,0,9,1,3,20.0
"('1000', '1005', '1508', '435', '672')","('1501', '281', '283', '679', '951')",2,0,6,1,2,20.0
"('1023', '121', '1739', '1740', '442')","('1065', '164', '703', '779', '84')",2,0,6,1,2,20.0
"('1065', '164', '369', '703', '779')","('1538', '1714', '441', '445', '980')",2,0,6,1,2,20.0
"('109', '216', '296', '323', '977')","('1005', '165', '1749', '1903', '983')",2,0,6,1,2,20.0
"('109', '270', '375', '406', '977')","('15', '1709', '1838', '1885', '2047')",2,0,6,1,2,20.0
"('120', '1719', '739', '757', '905')","('1005', '1508', '165', '1749', '983')",2,0,6,1,2,20.0
"('1444', '1513', '1715', '2045', '468')","('1720', '1727', '2034', '353', '680')",2,0,6,1,2,20.0
"('1497', '1725', '1887', '210', '324')","('238', '243', '248', '389', '689')",2,0,6,2,2,20.0
"('1500', '1882', '1897', '1913', '2062')","('1444', '1517', '185', '468', '978')",2,0,6,1,2,20.0
"('1501', '2038', '208', '283', '679')","('1538', '1714', '1889', '1892', '441')",2,0,6,1,2,20.0
"('1501', '283', '299', '679', '951')","('1499', '1718', '677', '753', '77')",2,0,6,1,2,20.0
"('1501', '283', '299', '911', '951')","('1499', '179', '677', '753', '77')",2,0,6,1,2,20.0
"('1502', '168', '1712', '1716', '682')","('1882', '1897', '2033', '2062', '697')",4,2,6,1,2,20.0
"('1503', '1720', '1727', '2034', '353')","('1900', '252', '304', '317', '330')",2,0,6,1,2,20.0
"('1503', '2034', '353', '386', '42')","('1065', '164', '275', '703', '84')",2,0,6,1,2,20.0
"('1503', '353', '42', '448', '680')","('238', '243', '248', '689', '947')",2,0,6,1,2,20.0
"('1521', '1900', '252', '304', '330')","('363', '458', '714', '762', '93')",3,1,6,1,2,20.0
"('1721', '1899', '686', '702', '89')","('1495', '1498', '1507', '1956', '251')",2,0,6,1,2,20.0
"('1732', '1888', '43', '436', '685')","('1594', '1718', '179', '677', '958')",2,0,6,1,2,20.0
"('1732', '1916', '393', '436', '782')","('1499', '1548', '1594', '1718', '179')",2,0,6,1,2,20.0
"('2091', '339', '467', '53', '915')","('1712', '1716', '302', '904', '956')",2,0,6,1,2,20.0
"('109', '2130', '296', '375', '406')","('123', '145', '1711', '1721', '45')",12,3,28,2,9,19.29
"('1501', '2038', '283', '299', '911')","('1538', '1714', '1723', '221', '441')",11,2,28,2,9,19.29
"('164', '275', '779', '84', '969')","('1533', '1544', '1683', '2035', '2069')",7,0,22,2,7,19.09
"('1722', '1800', '236', '3', '735')","('1739', '1740', '1742', '2046', '452')",10,3,22,3,7,19.09
"('15', '2032', '2039', '2047', '399')","('1000', '1749', '1883', '1903', '983')",6,0,19,2,6,18.95
"('1425', '1536', '1915', '2030', '271')","('133', '136', '1884', '2048', '469')",-56,-79,73,3,23,18.9
"('1023', '121', '1740', '1742', '452')","('1065', '164', '275', '779', '948')",5,0,16,1,5,18.75
"('103', '111', '1497', '1887', '324')","('1711', '1899', '686', '702', '89')",8,3,16,1,5,18.75
"('1110', '123', '1721', '426', '45')","('1890', '201', '2092', '361', '467')",6,1,16,1,5,18.75
"('1714', '1889', '423', '441', '445')","('179', '2040', '713', '753', '958')",5,0,16,2,5,18.75
"('1502', '168', '1712', '219', '682')","('1500', '1913', '2033', '2064', '697')",9,0,29,2,9,18.62
"('1890', '201', '361', '467', '916')","('1495', '1507', '198', '251', '422')",12,3,29,1,9,18.62
"('1495', '1498', '1507', '198', '251')","('109', '166', '2058', '216', '296')",4,0,13,1,4,18.46
"('1502', '168', '219', '228', '682')","('1500', '1882', '1913', '2064', '697')",4,0,13,1,4,18.46
"('1541', '213', '349', '722', '788')","('1538', '1714', '423', '445', '902')",4,0,13,2,4,18.46
"('1548', '1718', '179', '677', '72')","('1541', '2050', '349', '722', '788')",4,0,13,1,4,18.46
"('1503', '1720', '353', '386', '448')","('1065', '275', '369', '703', '779')",-72,-95,76,5,23,18.16
"('2042', '458', '714', '93', '959')","('1023', '1739', '2046', '2106', '699')",10,4,20,3,6,18.0
"('123', '1505', '1711', '1899', '686')","('166', '216', '270', '323', '977')",7,4,10,1,3,18.0
"('15', '1885', '2032', '2047', '399')","('1000', '1508', '165', '1749', '1883')",3,0,10,1,3,18.0
"('1500', '1882', '1897', '1913', '697')","('1425', '1536', '1915', '2030', '383')",3,0,10,1,3,18.0
"('1521', '1900', '304', '330', '731')","('1500', '1882', '1913', '2033', '2064')",3,0,10,1,3,18.0
"('1709', '1730', '1885', '2032', '2039')","('1722', '1800', '236', '3', '735')",3,0,10,1,3,18.0
"('176', '2057', '278', '431', '757')","('1505', '1711', '1899', '426', '45')",6,3,10,2,3,18.0
"('1882', '1897', '1913', '2033', '2064')","('1562', '1732', '1888', '1918', '43')",3,0,10,1,3,18.0
"('1890', '2101', '339', '361', '467')","('1536', '2030', '271', '29', '383')",3,0,10,1,3,18.0
"('1710', '1722', '3', '735', '949')","('121', '1739', '1740', '1742', '2046')",-63,-86,77,3,23,17.92
"('1723', '1889', '2036', '221', '441')","('124', '1517', '185', '57', '978')",-60,-83,77,2,23,17.92
"('1747', '2038', '2072', '283', '998')","('133', '136', '1906', '1924', '2121')",14,4,34,1,10,17.65
"('133', '136', '1884', '2048', '469')","('1541', '1600', '209', '213', '349')",7,2,17,1,5,17.65
"('1503', '1720', '1727', '255', '353')","('1732', '1888', '1918', '43', '63')",8,3,17,1,5,17.65
"('1541', '1600', '1713', '349', '788')","('1562', '1732', '1751', '1888', '393')",5,0,17,2,5,17.65
"('1554', '1853', '190', '193', '2067')","('120', '21', '431', '717', '937')",5,0,17,1,5,17.65
"('1890', '201', '467', '53', '915')","('1717', '2042', '458', '762', '93')",6,1,17,1,5,17.65
"('168', '1712', '1716', '682', '956')","('1051', '1497', '1725', '1887', '1895')",-69,-86,58,2,17,17.59
"('15', '2032', '2039', '2047', '399')","('1000', '1749', '1903', '672', '983')",9,2,24,1,7,17.5
"('1541', '1713', '209', '213', '349')","('1501', '208', '283', '679', '911')",7,0,24,2,7,17.5
"('1501', '208', '283', '299', '679')","('1499', '1718', '179', '677', '753')",-60,-79,66,4,19,17.27
"('1051', '1497', '1887', '210', '708')","('124', '1517', '185', '468', '57')",16,4,42,3,12,17.14
"('1541', '2050', '213', '349', '895')","('1594', '1718', '179', '713', '952')",14,2,42,2,12,17.14
"('1088', '146', '376', '711', '961')","('124', '1444', '1513', '1517', '468')",4,0,14,1,4,17.14
"('137', '238', '243', '248', '689')","('1477', '1853', '190', '193', '258')",4,0,14,1,4,17.14
"('1497', '1725', '210', '324', '417')","('124', '1517', '185', '468', '57')",6,2,14,2,4,17.14
"('1562', '1751', '1888', '1916', '393')","('120', '1719', '431', '717', '739')",4,0,14,1,4,17.14
"('1721', '426', '686', '702', '89')","('1500', '1882', '2033', '2064', '697')",6,2,14,1,4,17.14
"('103', '111', '1497', '1887', '708')","('1711', '1721', '45', '702', '89')",5,3,7,1,2,17.14
"('1051', '111', '1895', '324', '708')","('1513', '1517', '185', '468', '57')",2,0,7,2,2,17.14
"('1051', '1497', '1887', '324', '417')","('1495', '1498', '1507', '251', '345')",2,0,7,2,2,17.14
"('1088', '146', '376', '711', '76')","('124', '1513', '1517', '185', '468')",4,2,7,1,2,17.14
"('111', '1497', '1725', '1734', '708')","('1502', '1531', '1716', '228', '988')",2,0,7,1,2,17.14
"('111', '1887', '1895', '324', '708')","('1507', '198', '251', '422', '764')",2,0,7,1,2,17.14
"('1110', '123', '1711', '1721', '45')","('2042', '363', '714', '762', '919')",3,1,7,1,2,17.14
"('120', '278', '431', '739', '757')","('1074', '1544', '1683', '1728', '1891')",2,0,7,1,2,17.14
"('123', '145', '1721', '1899', '89')","('2059', '458', '714', '93', '959')",4,2,7,1,2,17.14
"('133', '1944', '2048', '695', '765')","('1088', '146', '1630', '76', '961')",4,2,7,1,2,17.14
"('137', '1737', '243', '248', '727')","('1541', '1713', '209', '349', '891')",2,0,7,1,2,17.14
"('1425', '2030', '29', '383', '446')","('1554', '190', '193', '2067', '896')",2,0,7,1,2,17.14
"('1495', '1507', '198', '251', '422')","('1521', '2052', '252', '304', '330')",2,0,7,1,2,17.14
"('1501', '283', '299', '679', '911')","('1538', '1714', '1892', '221', '902')",2,0,7,1,2,17.14
"('1502', '1531', '1716', '228', '302')","('103', '1051', '1073', '1725', '1895')",2,0,7,1,2,17.14
"('1505', '1711', '45', '686', '89')","('1000', '165', '1749', '1883', '1903')",2,0,7,1,2,17.14
"('1506', '365', '397', '440', '696')","('1500', '1724', '1802', '1882', '1897')",2,0,7,1,2,17.14
"('1533', '1544', '1683', '1728', '2035')","('133', '136', '469', '695', '922')",3,1,7,1,2,17.14
"('1538', '1714', '1889', '423', '445')","('1499', '1559', '713', '753', '958')",2,0,7,1,2,17.14
"('166', '270', '296', '323', '977')","('15', '1730', '2032', '2047', '399')",2,0,7,1,2,17.14
"('1714', '1889', '1892', '221', '441')","('146', '1630', '2043', '376', '966')",2,0,7,1,2,17.14
"('1717', '2042', '363', '458', '714')","('1495', '1498', '251', '345', '422')",2,0,7,1,2,17.14
"('1720', '1727', '353', '42', '448')","('120', '21', '278', '431', '905')",2,0,7,1,2,17.14
"('1882', '1897', '1913', '2064', '697')","('1751', '1888', '1918', '393', '436')",2,0,7,1,2,17.14
"('1890', '201', '2091', '361', '467')","('1719', '431', '739', '757', '905')",2,0,7,2,2,17.14
"('1501', '2038', '208', '299', '951')","('1051', '1497', '1725', '1887', '324')",-60,-83,82,3,23,16.83
"('1890', '201', '2091', '467', '915')","('1495', '1498', '198', '251', '70')",9,2,25,3,7,16.8
"('1500', '1882', '1897', '1913', '2064')","('1503', '2034', '353', '42', '448')",-82,-104,79,3,22,16.71
"('1538', '1714', '1889', '1892', '980')","('1888', '1916', '393', '436', '63')",5,0,18,1,5,16.67
"('1607', '1727', '2034', '42', '448')","('1737', '238', '243', '389', '727')",5,0,18,1,5,16.67
"('121', '1739', '1740', '2046', '2106')","('1110', '1505', '1711', '1721', '1899')",-77,-90,47,2,13,16.6
"('109', '2130', '270', '375', '406')","('1051', '111', '1497', '210', '324')",10,4,22,2,6,16.36
"('1499', '677', '753', '958', '962')","('103', '1051', '1887', '210', '324')",10,4,22,3,6,16.36
"('1000', '1005', '1508', '672', '983')","('1501', '208', '281', '283', '679')",3,0,11,1,3,16.36
"('1000', '1005', '165', '1749', '1903')","('1890', '467', '915', '916', '960')",3,0,11,1,3,16.36
"('1477', '190', '193', '224', '896')","('1000', '165', '1749', '672', '983')",3,0,11,1,3,16.36
"('1495', '1507', '198', '251', '422')","('1506', '397', '440', '64', '696')",7,4,11,1,3,16.36
"('1500', '1802', '1897', '1913', '2062')","('1425', '1536', '2030', '29', '383')",3,0,11,1,3,16.36
"('1714', '1889', '1892', '441', '980')","('1712', '1716', '2084', '219', '956')",6,3,11,1,3,16.36
"('133', '136', '1884', '1924', '2048')","('238', '248', '689', '727', '761')",-49,-74,93,4,25,16.13
"('1000', '1509', '165', '1749', '672')","('1051', '111', '1497', '1887', '210')",4,0,15,1,4,16.0
"('1023', '1739', '1740', '1742', '452')","('1065', '164', '2068', '280', '779')",4,0,15,1,4,16.0
"('1134', '1800', '236', '28', '949')","('1110', '1505', '1711', '1899', '45')",6,2,15,1,4,16.0
"('133', '136', '2048', '695', '901')","('1477', '1554', '1853', '193', '957')",6,2,15,1,4,16.0
"('1425', '1536', '1915', '271', '29')","('120', '431', '739', '757', '937')",6,2,15,2,4,16.0
"('1709', '1838', '1885', '2047', '976')","('2130', '216', '270', '296', '406')",4,0,15,1,4,16.0
"('1732', '1888', '393', '436', '685')","('1498', '1507', '198', '422', '990')",5,1,15,1,4,16.0
"('1499', '1594', '1718', '1914', '713')","('137', '243', '248', '389', '947')",13,4,34,3,9,15.88
"('1074', '1683', '1891', '673', '754')","('1065', '275', '779', '84', '969')",16,6,38,3,10,15.79
"('123', '1711', '426', '45', '702')","('1495', '1498', '1507', '1956', '198')",9,4,19,2,5,15.79
"('1544', '1683', '1891', '2035', '673')","('133', '136', '469', '695', '901')",10,5,19,2,5,15.79
"('1477', '1853', '190', '193', '224')","('1749', '1883', '1903', '672', '983')",8,2,23,3,6,15.65
"('1499', '1718', '179', '677', '72')","('146', '1630', '2043', '376', '76')",8,2,23,1,6,15.65
"('164', '779', '84', '913', '969')","('168', '1712', '1716', '302', '956')",6,0,23,1,6,15.65
"('1503', '1720', '1727', '2034', '448')","('121', '1740', '1742', '2106', '452')",11,4,27,1,7,15.56
"('1713', '213', '349', '722', '891')","('133', '136', '1884', '2048', '469')",-73,-98,97,2,25,15.46
"('166', '270', '296', '406', '977')","('1502', '1531', '1712', '1716', '219')",13,4,35,3,9,15.43
"('275', '369', '703', '779', '913')","('133', '1884', '2048', '469', '901')",-79,-99,80,4,20,15.0
"('1495', '1498', '1507', '198', '251')","('1506', '1733', '1886', '365', '397')",-82,-100,72,4,18,15.0
