player_1,player_2,total_net_points,total_duration,total_stints,impact_per_60,player_1_name,player_2_name,pair_name
779,913,45,952,59,0.05,Glen Rice,Larry Johnson,Glen Rice + Larry Johnson
393,685,43,910,68,0.05,Rod Strickland,Cherokee Parks,Rod Strickland + Cherokee Parks
375,406,44,891,64,0.05,Isaiah Rider,Shaquille O'Neal,Isaiah Rider + Shaquille O'Neal
1498,422,43,875,62,0.05,Antonio Daniels,Avery Johnson,Antonio Daniels + Avery Johnson
248,947,42,860,68,0.05,George Lynch,Allen Iverson,George Lynch + Allen Iverson
1715,2045,45,834,69,0.05,Jason Williams,Hedo Turkoglu,Jason Williams + Hedo Turkoglu
1134,1722,40,820,61,0.05,Ike Austin,Michael Dickerson,Ike Austin + Michael Dickerson
1889,2036,34,725,51,0.05,Andre Miller,Chris Mihm,Andre Miller + Chris Mihm
1723,2036,34,724,49,0.05,Matt Harpring,Chris Mihm,Matt Harpring + Chris Mihm
1918,393,38,709,48,0.05,Obinna Ekezie,Rod Strickland,Obinna Ekezie + Rod Strickland
1712,682,34,660,47,0.05,Antawn Jamison,Bob Sura,Antawn Jamison + Bob Sura
703,913,29,641,50,0.05,Kurt Thomas,Larry Johnson,Kurt Thomas + Larry Johnson
1497,417,31,640,51,0.05,Chauncey Billups,Sam Mitchell,Chauncey Billups + Sam Mitchell
252,330,32,640,46,0.05,Karl Malone,Danny Manning,Karl Malone + Danny Manning
1444,2045,33,632,51,0.05,Lawrence Funderburke,Hedo Turkoglu,Lawrence Funderburke + Hedo Turkoglu
103,1051,29,604,45,0.05,Todd Day,Dean Garrett,Todd Day + Dean Garrett
251,764,27,567,42,0.05,Sean Elliott,David Robinson,Sean Elliott + David Robinson
137,1928,25,544,49,0.05,Vernon Maxwell,Todd MacCulloch,Vernon Maxwell + Todd MacCulloch
2040,677,29,534,44,0.05,Jerome Moiso,Eric Williams,Jerome Moiso + Eric Williams
1507,764,24,505,33,0.05,Derek Anderson,David Robinson,Derek Anderson + David Robinson
1740,442,22,483,37,0.05,Rashard Lewis,Pervis Ellison,Rashard Lewis + Pervis Ellison
2068,275,23,464,43,0.05,Lavor Postell,Allan Houston,Lavor Postell + Allan Houston
304,935,20,440,38,0.05,John Stockton,Bryon Russell,John Stockton + Bryon Russell
682,956,22,434,31,0.05,Bob Sura,Erick Dampier,Bob Sura + Erick Dampier
43,436,22,422,42,0.05,Chris Whitney,Juwan Howard,Chris Whitney + Juwan Howard
1434,2064,20,401,27,0.05,Dragan Tarlac,Khalid El-Amin,Dragan Tarlac + Khalid El-Amin
2045,57,18,391,38,0.05,Hedo Turkoglu,Doug Christie,Hedo Turkoglu + Doug Christie
1739,442,18,383,31,0.05,Ruben Patterson,Pervis Ellison,Ruben Patterson + Pervis Ellison
919,93,18,379,36,0.05,Loy Vaught,Hubert Davis,Loy Vaught + Hubert Davis
